1.63	 1.20	 2.38	 1.32	 68.33	 59.06	 5.74	 98.17	 59.54	 7.21	 20.20	 -9.43	 22.29	 0.00049	 -0.53	 
1.64	 1.21	 2.39	 1.37	 66.36	 60.18	 0.45	 98.17	 60.59	 7.22	 18.92	 11.69	 22.24	 0.00020	 -0.58	 
1.66	 1.22	 2.40	 1.42	 63.97	 61.25	 1.44	 98.17	 61.62	 7.22	 0.60	 22.20	 22.21	 0.00030	 -0.58	 
1.68	 1.23	 2.41	 1.47	 61.78	 62.26	 2.44	 98.17	 62.65	 7.23	 -18.23	 12.65	 22.19	 0.00043	 -0.58	 
1.69	 1.24	 2.42	 1.51	 60.26	 63.23	 3.43	 98.17	 63.66	 7.23	 -20.54	 -8.32	 22.16	 0.00014	 -0.58	 
1.71	 1.25	 2.43	 1.56	 59.70	 64.16	 4.42	 98.17	 64.66	 7.24	 -4.26	 -21.71	 22.13	 0.00031	 -0.58	 
1.72	 1.26	 2.44	 1.60	 60.17	 65.08	 5.42	 98.17	 65.65	 7.25	 15.82	 -15.40	 22.08	 0.00052	 -0.58	 
1.74	 1.27	 2.45	 1.65	 61.51	 66.00	 0.12	 98.17	 66.63	 7.26	 21.47	 4.84	 22.01	 0.00010	 -0.62	 
1.75	 1.28	 2.45	 1.69	 63.44	 66.93	 1.11	 98.17	 67.60	 7.27	 7.62	 20.55	 21.92	 0.00030	 -0.62	 
1.77	 1.29	 2.46	 1.74	 65.62	 67.87	 2.10	 98.17	 68.56	 7.28	 -13.01	 17.51	 21.82	 0.00050	 -0.62	 
1.78	 1.30	 2.47	 1.79	 67.70	 68.84	 3.09	 98.17	 69.52	 7.29	 -21.67	 -1.35	 21.71	 0.00068	 -0.62	 
1.80	 1.30	 2.47	 1.84	 69.39	 69.82	 4.09	 98.17	 70.46	 7.30	 -10.63	 -18.80	 21.60	 0.00036	 -0.62	 
1.81	 1.31	 2.48	 1.90	 70.50	 70.81	 5.08	 98.17	 71.39	 7.31	 9.91	 -19.07	 21.49	 0.00066	 -0.62	 
1.82	 1.32	 2.49	 1.95	 70.97	 71.79	 6.07	 98.17	 72.32	 7.31	 21.29	 -2.09	 21.40	 0.00029	 -0.62	 
1.84	 1.33	 2.49	 2.00	 70.82	 72.77	 0.78	 98.17	 73.24	 7.32	 13.32	 16.64	 21.31	 0.00052	 -0.66	 
1.85	 1.34	 2.50	 2.05	 70.17	 73.72	 1.77	 98.17	 74.15	 7.33	 -6.65	 20.17	 21.24	 0.00023	 -0.66	 
1.87	 1.35	 2.51	 2.11	 69.20	 74.66	 2.77	 98.17	 75.06	 7.33	 -20.47	 5.42	 21.17	 0.00043	 -0.66	 
1.88	 1.36	 2.52	 2.16	 68.11	 75.57	 3.76	 98.17	 75.95	 7.34	 -15.67	 -14.16	 21.11	 0.00020	 -0.66	 
1.89	 1.37	 2.52	 2.21	 67.11	 76.45	 4.76	 98.17	 76.84	 7.34	 3.31	 -20.80	 21.06	 0.00040	 -0.66	 
1.90	 1.38	 2.53	 2.26	 66.37	 77.32	 5.75	 98.17	 77.72	 7.35	 19.19	 -8.54	 21.00	 0.00021	 -0.66	 
1.92	 1.39	 2.54	 2.31	 65.98	 78.16	 0.46	 98.17	 78.60	 7.35	 17.57	 11.40	 20.95	 0.00044	 -0.70	 
1.93	 1.39	 2.55	 2.36	 66.03	 79.00	 1.46	 98.17	 79.47	 7.36	 0.01	 20.88	 20.88	 0.00024	 -0.70	 
1.94	 1.40	 2.55	 2.41	 66.50	 79.83	 2.45	 98.17	 80.33	 7.37	 -17.45	 11.33	 20.81	 0.00025	 -0.70	 
1.95	 1.41	 2.56	 2.46	 67.32	 80.65	 3.45	 98.17	 81.19	 7.37	 -18.93	 -8.44	 20.72	 0.00033	 -0.70	 
1.97	 1.42	 2.56	 2.51	 68.40	 81.49	 4.44	 98.17	 82.04	 7.38	 -3.19	 -20.39	 20.64	 0.00040	 -0.70	 
1.98	 1.43	 2.57	 2.56	 69.61	 82.32	 5.43	 98.17	 82.88	 7.39	 15.31	 -13.70	 20.54	 0.00047	 -0.70	 
1.99	 1.44	 2.58	 2.61	 70.80	 83.17	 0.14	 98.17	 83.72	 7.39	 19.72	 5.37	 20.44	 0.00053	 -0.73	 
2.00	 1.45	 2.58	 2.67	 71.86	 84.01	 1.14	 98.17	 84.55	 7.40	 6.18	 19.38	 20.34	 0.00057	 -0.73	 
2.01	 1.45	 2.59	 2.72	 72.71	 84.86	 2.13	 98.17	 85.38	 7.41	 -12.85	 15.65	 20.25	 0.00006	 -0.73	 
2.03	 1.46	 2.59	 2.78	 73.27	 85.72	 3.13	 98.17	 86.20	 7.41	 -20.03	 -2.26	 20.15	 0.00011	 -0.73	 
2.04	 1.47	 2.60	 2.83	 73.54	 86.56	 4.12	 98.17	 87.01	 7.42	 -8.95	 -17.96	 20.07	 0.00015	 -0.73	 
2.05	 1.48	 2.60	 2.89	 73.50	 87.40	 5.11	 98.17	 87.82	 7.42	 10.16	 -17.21	 19.98	 0.00019	 -0.73	 
2.06	 1.49	 2.61	 2.94	 73.22	 88.24	 6.11	 98.17	 88.63	 7.43	 19.89	 -0.83	 19.91	 0.00022	 -0.73	 
2.07	 1.49	 2.61	 3.00	 72.77	 89.06	 0.82	 98.17	 89.42	 7.43	 11.48	 16.18	 19.84	 0.00025	 -0.76	 
2.08	 1.50	 2.62	 3.05	 72.21	 89.86	 1.82	 98.17	 90.22	 7.43	 -7.31	 18.37	 19.77	 0.00016	 -0.76	 
2.09	 1.51	 2.63	 3.11	 71.65	 90.66	 2.82	 98.17	 91.01	 7.44	 -19.33	 3.84	 19.71	 0.00015	 -0.76	 
2.11	 1.52	 2.63	 3.16	 71.13	 91.44	 3.81	 98.17	 91.79	 7.44	 -13.69	 -14.08	 19.64	 0.00015	 -0.76	 
2.12	 1.53	 2.64	 3.21	 70.74	 92.21	 4.81	 98.17	 92.57	 7.45	 4.36	 -19.09	 19.58	 0.00016	 -0.76	 
2.13	 1.53	 2.64	 3.27	 70.54	 92.97	 5.80	 98.17	 93.35	 7.45	 18.34	 -6.69	 19.52	 0.00016	 -0.76	 
2.14	 1.54	 2.65	 3.32	 70.55	 93.72	 0.52	 98.17	 94.12	 7.45	 15.52	 11.72	 19.45	 0.00017	 -0.78	 
2.15	 1.55	 2.66	 3.37	 70.77	 94.47	 1.51	 98.17	 94.89	 7.46	 -1.40	 19.33	 19.38	 0.00018	 -0.78	 
2.16	 1.56	 2.66	 3.43	 71.20	 95.21	 2.51	 98.17	 95.65	 7.46	 -16.93	 9.28	 19.30	 0.00018	 -0.78	 
2.17	 1.56	 2.67	 3.48	 71.78	 95.96	 3.50	 98.17	 96.41	 7.47	 -16.91	 -9.15	 19.23	 0.00019	 -0.78	 
2.18	 1.57	 2.67	 3.54	 72.48	 96.70	 4.50	 98.17	 97.16	 7.47	 -1.48	 -19.09	 19.14	 0.00019	 -0.78	 
2.19	 1.58	 2.68	 3.59	 73.26	 97.45	 5.49	 98.17	 97.91	 7.48	 15.16	 -11.55	 19.06	 0.00019	 -0.78	 
2.20	 1.59	 2.68	 3.65	 74.03	 98.20	 0.21	 98.17	 98.65	 7.48	 17.84	 6.45	 18.97	 0.00018	 -0.80	 
2.21	 1.59	 2.69	 3.70	 74.74	 98.95	 1.20	 98.17	 99.40	 7.49	 4.24	 18.40	 18.89	 0.00018	 -0.80	 
2.22	 1.60	 2.69	 3.76	 75.35	 99.70	 2.20	 98.17	 100.13	 7.49	 -13.10	 13.49	 18.80	 0.00013	 -0.80	 
2.23	 1.61	 2.69	 3.81	 75.82	 100.45	 3.19	 98.17	 100.87	 7.49	 -18.36	 -3.68	 18.72	 0.00016	 -0.80	 
2.24	 1.62	 2.70	 3.87	 76.13	 101.21	 4.19	 98.17	 101.60	 7.50	 -6.84	 -17.34	 18.64	 0.00019	 -0.80	 
2.25	 1.62	 2.70	 3.93	 76.27	 101.95	 5.19	 98.17	 102.32	 7.50	 10.81	 -15.09	 18.56	 0.00022	 -0.80	 
2.26	 1.63	 2.71	 3.99	 76.25	 102.70	 6.18	 98.17	 103.04	 7.51	 18.47	 0.89	 18.49	 0.00024	 -0.82	 
2.27	 1.64	 2.71	 4.04	 76.09	 103.43	 0.90	 98.17	 103.76	 7.51	 9.24	 15.94	 18.42	 0.00026	 -0.82	 
2.28	 1.64	 2.72	 4.10	 75.82	 104.16	 1.89	 98.17	 104.48	 7.51	 -8.34	 16.35	 18.36	 0.00027	 -0.82	 
2.29	 1.65	 2.72	 4.16	 75.47	 104.88	 2.89	 98.17	 105.19	 7.51	 -18.20	 1.87	 18.29	 0.00029	 -0.82	 
2.30	 1.66	 2.73	 4.22	 75.10	 105.60	 3.89	 98.17	 105.90	 7.52	 -11.41	 -14.22	 18.23	 0.00031	 -0.82	 
2.31	 1.67	 2.74	 4.27	 74.73	 106.30	 4.88	 98.17	 106.60	 7.52	 5.74	 -17.25	 18.18	 0.00003	 -0.82	 
2.32	 1.67	 2.74	 4.33	 74.42	 107.00	 5.88	 98.17	 107.30	 7.52	 17.54	 -4.52	 18.12	 0.00006	 -0.82	 
2.33	 1.68	 2.75	 4.38	 74.19	 107.69	 0.60	 98.17	 108.00	 7.53	 13.27	 12.24	 18.06	 0.00009	 -0.84	 
2.33	 1.69	 2.75	 4.44	 74.08	 108.37	 1.59	 98.17	 108.70	 7.53	 -3.07	 17.73	 18.00	 0.00012	 -0.84	 
2.34	 1.69	 2.76	 4.50	 74.10	 109.05	 2.59	 98.17	 109.39	 7.53	 -16.51	 7.01	 17.94	 0.00015	 -0.84	 
2.35	 1.70	 2.76	 4.55	 74.25	 109.73	 3.59	 98.17	 110.08	 7.54	 -14.79	 -10.04	 17.87	 0.00016	 -0.84	 
2.36	 1.71	 2.77	 4.61	 74.53	 110.40	 4.58	 98.17	 110.76	 7.54	 0.42	 -17.80	 17.81	 0.00029	 -0.84	 
2.37	 1.71	 2.77	 4.66	 74.92	 111.07	 5.58	 98.17	 111.44	 7.54	 15.13	 -9.25	 17.74	 0.00003	 -0.84	 
2.38	 1.72	 2.77	 4.72	 75.38	 111.75	 0.29	 98.17	 112.12	 7.55	 15.91	 7.68	 17.67	 0.00017	 -0.85	 
2.39	 1.73	 2.78	 4.78	 75.91	 112.42	 1.29	 98.17	 112.80	 7.55	 2.16	 17.47	 17.60	 0.00030	 -0.85	 
2.40	 1.73	 2.78	 4.84	 76.46	 113.09	 2.29	 98.17	 113.47	 7.55	 -13.46	 11.22	 17.53	 0.00003	 -0.85	 
2.41	 1.74	 2.79	 4.89	 77.02	 113.77	 3.28	 98.17	 114.14	 7.56	 -16.65	 -5.22	 17.45	 0.00017	 -0.85	 
2.42	 1.75	 2.79	 4.95	 77.54	 114.44	 4.28	 98.17	 114.81	 7.56	 -4.61	 -16.76	 17.38	 0.00029	 -0.85	 
2.42	 1.75	 2.80	 5.01	 78.00	 115.12	 5.28	 98.17	 115.48	 7.56	 11.54	 -12.90	 17.31	 0.00003	 -0.85	 
2.43	 1.76	 2.80	 5.07	 78.37	 115.79	 6.28	 98.17	 116.14	 7.56	 17.03	 2.71	 17.24	 0.00015	 -0.87	 
2.44	 1.77	 2.80	 5.13	 78.63	 116.47	 0.99	 98.17	 116.80	 7.57	 6.92	 15.72	 17.17	 0.00025	 -0.87	 
2.45	 1.77	 2.81	 5.19	 78.77	 117.14	 1.99	 98.17	 117.45	 7.57	 -9.43	 14.27	 17.11	 0.00003	 -0.87	 
2.46	 1.78	 2.81	 5.25	 78.80	 117.81	 2.98	 98.17	 118.11	 7.57	 -17.04	 -0.19	 17.04	 0.00013	 -0.87	 
2.47	 1.79	 2.82	 5.31	 78.74	 118.47	 3.98	 98.17	 118.76	 7.58	 -9.04	 -14.38	 16.98	 0.00022	 -0.87	 
2.48	 1.79	 2.82	 5.37	 78.61	 119.13	 4.98	 98.17	 119.41	 7.58	 7.16	 -15.34	 16.93	 0.00002	 -0.87	 
2.48	 1.80	 2.83	 5.42	 78.40	 119.79	 5.98	 98.17	 120.05	 7.58	 16.71	 -2.28	 16.87	 0.00011	 -0.87	 
2.49	 1.81	 2.83	 5.48	 78.14	 120.44	 0.69	 98.17	 120.69	 7.58	 10.94	 12.77	 16.82	 0.00002	 -0.88	 
2.50	 1.81	 2.84	 5.54	 77.85	 121.08	 1.69	 98.17	 121.33	 7.58	 -4.79	 16.07	 16.76	 0.00021	 -0.88	 
2.51	 1.82	 2.84	 5.60	 77.57	 121.72	 2.69	 98.17	 121.97	 7.59	 -16.05	 4.67	 16.71	 0.00012	 -0.88	 
2.52	 1.83	 2.85	 5.66	 77.33	 122.36	 3.69	 98.17	 122.61	 7.59	 -12.58	 -10.92	 16.66	 0.00004	 -0.88	 
2.52	 1.83	 2.85	 5.72	 77.14	 122.98	 4.68	 98.17	 123.24	 7.59	 2.36	 -16.44	 16.61	 0.00023	 -0.88	 
2.53	 1.84	 2.86	 5.78	 77.03	 123.61	 5.68	 98.17	 123.87	 7.59	 15.05	 -6.90	 16.56	 0.00015	 -0.88	 
2.54	 1.85	 2.86	 5.83	 76.98	 124.23	 0.40	 98.17	 124.50	 7.59	 13.91	 8.89	 16.51	 0.00007	 -0.90	 
2.55	 1.85	 2.86	 5.89	 77.01	 124.85	 1.39	 98.17	 125.13	 7.60	 0.06	 16.45	 16.45	 0.00027	 -0.90	 
2.56	 1.86	 2.87	 5.95	 77.13	 125.46	 2.39	 98.17	 125.75	 7.60	 -13.75	 8.93	 16.40	 0.00019	 -0.90	 
2.56	 1.86	 2.87	 6.01	 77.34	 126.07	 3.39	 98.17	 126.37	 7.60	 -14.90	 -6.71	 16.34	 0.00010	 -0.90	 
2.57	 1.87	 2.88	 6.07	 77.64	 126.68	 4.39	 98.17	 126.99	 7.60	 -2.41	 -16.11	 16.29	 0.00032	 -0.90	 
2.58	 1.88	 2.88	 6.13	 78.01	 127.30	 5.38	 98.17	 127.61	 7.61	 12.20	 -10.71	 16.23	 0.00022	 -0.90	 
2.59	 1.88	 2.89	 6.18	 78.42	 127.91	 0.10	 98.17	 128.22	 7.61	 15.54	 4.45	 16.17	 0.00012	 -0.91	 
2.60	 1.89	 2.89	 6.24	 78.85	 128.52	 1.10	 98.17	 128.84	 7.61	 4.65	 15.42	 16.11	 0.00002	 -0.91	 
2.60	 1.89	 2.89	 6.30	 79.28	 129.13	 2.09	 98.17	 129.45	 7.61	 -10.42	 12.21	 16.05	 0.00024	 -0.91	 
2.61	 1.90	 2.90	 6.36	 79.70	 129.74	 3.09	 98.17	 130.05	 7.62	 -15.84	 -2.16	 15.99	 0.00014	 -0.91	 
2.62	 1.91	 2.90	 6.42	 80.08	 130.36	 4.09	 98.17	 130.66	 7.62	 -6.73	 -14.44	 15.93	 0.00018	 -0.91	 
2.63	 1.91	 2.91	 6.48	 80.39	 130.97	 5.09	 98.17	 131.26	 7.62	 8.47	 -13.42	 15.87	 0.00023	 -0.91	 
2.63	 1.92	 2.91	 6.55	 80.66	 131.58	 6.09	 98.17	 131.87	 7.62	 15.82	 -0.13	 15.82	 0.00026	 -0.91	 
2.64	 1.92	 2.91	 6.61	 80.87	 132.19	 0.80	 98.17	 132.47	 7.63	 8.64	 13.18	 15.76	 0.00029	 -0.91	 
2.65	 1.93	 2.92	 6.67	 81.00	 132.80	 1.80	 98.17	 133.06	 7.63	 -6.39	 14.35	 15.71	 0.00004	 -0.91	 
2.66	 1.94	 2.92	 6.73	 81.06	 133.41	 2.80	 98.17	 133.66	 7.63	 -15.47	 2.38	 15.65	 0.00007	 -0.91	 
2.66	 1.94	 2.93	 6.79	 81.04	 134.01	 3.79	 98.17	 134.25	 7.63	 -10.34	 -11.68	 15.60	 0.00011	 -0.91	 
2.67	 1.95	 2.93	 6.85	 80.93	 134.62	 4.79	 98.17	 134.85	 7.63	 4.21	 -14.98	 15.56	 0.00013	 -0.91	 
2.68	 1.95	 2.94	 6.91	 80.78	 135.22	 5.79	 98.17	 135.44	 7.63	 14.83	 -4.55	 15.51	 0.00016	 -0.91	 
2.69	 1.96	 2.94	 6.97	 80.60	 135.81	 0.51	 98.17	 136.02	 7.64	 11.82	 9.97	 15.46	 0.00019	 -0.92	 
2.69	 1.97	 2.94	 7.03	 80.39	 136.40	 1.50	 98.17	 136.61	 7.64	 -1.98	 15.29	 15.42	 0.00022	 -0.92	 
